_id,user_id,book_id,rating_value,review_text,rating_date
6857b69bfdb7f7924c390c0c,68554d25c4e15be62deeac01,book-8,4,Sastra yang menghangatkan hati. Sangat menyentuh.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c0d,68554d25c4e15be62deeac01,book-9,5,"Plotnya kuat dan emosional, salah satu karya terbaik Kristin Hannah.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c0e,68554d25c4e15be62deeac01,book-10,4,"Realistis dan menyemangati, cocok untuk yang sedang terpuruk.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c0f,68554d25c4e15be62deeac01,book-11,5,Klasik dan masih relevan! Ilmu komunikasi level dewa.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c10,68554d25c4e15be62deeac01,book-12,3,"Satirnya unik, tapi agak membingungkan di awal.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c11,68554d25c4e15be62deeac01,book-13,5,Stoik tapi relatable. Bikin hidup gak gampang panik.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c12,68554d25c4e15be62deeac01,book-14,4,Konsep alternatif life paths yang mind-blowing.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c13,68554d25c4e15be62deeac01,book-15,5,Harari jenius. Buku ini bikin sejarah terasa hidup.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c14,68554d25c4e15be62deeac01,book-16,4,"Dilan vibes-nya nostalgia banget, sweet tapi kadang toxic.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c15,68554d25c4e15be62deeac01,book-17,5,Reflektif dan sangat dalam. Salah satu buku terbaik soal makna hidup.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c16,68554d25c4e15be62deeac01,book-18,4,Fantasi anak SMA yang gak biasa. Dunia paralelnya seru.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c17,68554d25c4e15be62deeac01,book-19,5,Basic financial knowledge yang harusnya diajarin di sekolah.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c18,68554d25c4e15be62deeac01,book-20,5,Canggih dan dalam. Butuh waktu cerna tapi worth it banget.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c19,68554d25c4e15be62deeac01,book-1,4,Narasinya ringan tapi banyak nilai hidupnya.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1a,68554d25c4e15be62deeac01,book-2,3,"Alur lambat, tapi isi padat. Butuh niat buat lanjut.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1b,68554d25c4e15be62deeac01,book-23,5,Inspiratif dan relatable. Layak jadi buku harian pribadi.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1c,68554d25c4e15be62deeac01,book-24,4,"Penuh emosi, dramatis tapi tetap rasional.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1d,68554d25c4e15be62deeac01,book-3,5,Gak nyangka bisa seseru itu! Worth re-read.,2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1e,68554d25c4e15be62deeac01,book-4,4,"Sering underrated, padahal powerful banget pesannya.",2025-06-22 07:54:03.876
6857b69bfdb7f7924c390c1f,68554d25c4e15be62deeac01,book-5,4,Banyak insight baru buat refleksi diri.,2025-06-22 07:54:03.876
